imagepath,label,ori_id
data/processed_data/Overripe/4_2580_105.jpg,4,105
data/processed_data/Overripe/4_380_83.jpg,4,83
data/processed_data/Overripe/4_1709_160.jpg,4,160
data/processed_data/Overripe/4_605_0.jpg,4,0
data/processed_data/Overripe/4_502_33.jpg,4,33
data/processed_data/Overripe/4_1497_73.jpg,4,73
data/processed_data/Overripe/4_3664_69.jpg,4,69
data/processed_data/Overripe/4_2846_97.jpg,4,97
data/processed_data/Overripe/4_1609_127.jpg,4,127
data/processed_data/Overripe/4_558_42.jpg,4,42
data/processed_data/Overripe/4_1392_98.jpg,4,98
data/processed_data/Overripe/4_2455_107.jpg,4,107
data/processed_data/Overripe/4_209_152.jpg,4,152
data/processed_data/Overripe/4_2256_8.jpg,4,8
data/processed_data/Overripe/4_647_123.jpg,4,123
data/processed_data/Overripe/4_2152_169.jpg,4,169
data/processed_data/Overripe/4_3014_186.jpg,4,186
data/processed_data/Overripe/4_2094_41.jpg,4,41
data/processed_data/Overripe/4_2463_107.jpg,4,107
data/processed_data/Overripe/4_2719_18.jpg,4,18
data/processed_data/Overripe/4_1964_58.jpg,4,58
data/processed_data/Overripe/4_1315_177.jpg,4,177
data/processed_data/Overripe/4_2739_162.jpg,4,162
data/processed_data/Overripe/4_168_59.jpg,4,59
data/processed_data/Overripe/4_932_45.jpg,4,45
data/processed_data/Overripe/4_1513_181.jpg,4,181
data/processed_data/Overripe/4_3266_47.jpg,4,47
data/processed_data/Overripe/4_658_123.jpg,4,123
data/processed_data/Overripe/4_3174_161.jpg,4,161
data/processed_data/Overripe/4_1857_148.jpg,4,148
data/processed_data/Overripe/4_458_195.jpg,4,195
data/processed_data/Overripe/4_1641_147.jpg,4,147
data/processed_data/Overripe/4_2758_13.jpg,4,13
data/processed_data/Overripe/4_3889_207.jpg,4,207
data/processed_data/Overripe/4_3816_7.jpg,4,7
data/processed_data/Overripe/4_3369_28.jpg,4,28
data/processed_data/Overripe/4_4011_200.jpg,4,200
data/processed_data/Overripe/4_898_134.jpg,4,134
data/processed_data/Overripe/4_2750_162.jpg,4,162
data/processed_data/Overripe/4_2180_1.jpg,4,1
data/processed_data/Overripe/4_2100_41.jpg,4,41
data/processed_data/Overripe/4_3227_128.jpg,4,128
data/processed_data/Overripe/4_2307_145.jpg,4,145
data/processed_data/Overripe/4_1809_56.jpg,4,56
data/processed_data/Overripe/4_2245_8.jpg,4,8
data/processed_data/Overripe/4_3626_153.jpg,4,153
data/processed_data/Overripe/4_4095_30.jpg,4,30
data/processed_data/Overripe/4_571_124.jpg,4,124
data/processed_data/Overripe/4_1157_203.jpg,4,203
data/processed_data/Overripe/4_1519_181.jpg,4,181
data/processed_data/Overripe/4_3476_27.jpg,4,27
data/processed_data/Overripe/4_3536_118.jpg,4,118
data/processed_data/Overripe/4_3256_47.jpg,4,47
data/processed_data/Overripe/4_3371_28.jpg,4,28
data/processed_data/Overripe/4_2492_208.jpg,4,208
data/processed_data/Overripe/4_3746_85.jpg,4,85
data/processed_data/Overripe/4_2679_205.jpg,4,205
data/processed_data/Overripe/4_1808_56.jpg,4,56
data/processed_data/Overripe/4_2147_169.jpg,4,169
data/processed_data/Overripe/4_3722_136.jpg,4,136
data/processed_data/Overripe/4_4085_30.jpg,4,30
data/processed_data/Overripe/4_4046_51.jpg,4,51
data/processed_data/Overripe/4_2253_8.jpg,4,8
data/processed_data/Overripe/4_3665_69.jpg,4,69
data/processed_data/Overripe/4_1500_73.jpg,4,73
data/processed_data/Overripe/4_692_214.jpg,4,214
data/processed_data/Overripe/4_202_78.jpg,4,78
data/processed_data/Overripe/4_1647_147.jpg,4,147
data/processed_data/Overripe/4_995_175.jpg,4,175
data/processed_data/Overripe/4_2726_18.jpg,4,18
data/processed_data/Overripe/4_1539_91.jpg,4,91
data/processed_data/Overripe/4_2579_105.jpg,4,105
data/processed_data/Overripe/4_1125_183.jpg,4,183
data/processed_data/Overripe/4_563_42.jpg,4,42
data/processed_data/Overripe/4_2533_172.jpg,4,172
data/processed_data/Overripe/4_3767_211.jpg,4,211
data/processed_data/Overripe/4_3740_188.jpg,4,188
data/processed_data/Overripe/4_2965_10.jpg,4,10
data/processed_data/Overripe/4_3969_166.jpg,4,166
data/processed_data/Overripe/4_1730_11.jpg,4,11
data/processed_data/Overripe/4_3164_119.jpg,4,119
data/processed_data/Overripe/4_2314_145.jpg,4,145
data/processed_data/Overripe/4_2361_103.jpg,4,103
data/processed_data/Overripe/4_602_0.jpg,4,0
data/processed_data/Overripe/4_788_15.jpg,4,15
data/processed_data/Overripe/4_3933_179.jpg,4,179
data/processed_data/Overripe/4_2870_193.jpg,4,193
data/processed_data/Overripe/4_1069_144.jpg,4,144
data/processed_data/Overripe/4_2069_44.jpg,4,44
data/processed_data/Overripe/4_3533_2.jpg,4,2
data/processed_data/Overripe/4_4019_200.jpg,4,200
data/processed_data/Overripe/4_691_214.jpg,4,214
data/processed_data/Overripe/4_244_117.jpg,4,117
data/processed_data/Overripe/4_1354_204.jpg,4,204
data/processed_data/Overripe/4_1371_86.jpg,4,86
data/processed_data/Overripe/4_3122_67.jpg,4,67
data/processed_data/Overripe/4_2364_103.jpg,4,103
data/processed_data/Overripe/4_286_40.jpg,4,40
data/processed_data/Overripe/4_388_83.jpg,4,83
data/processed_data/Overripe/4_3572_29.jpg,4,29
data/processed_data/Overripe/4_189_194.jpg,4,194
data/processed_data/Overripe/4_2552_102.jpg,4,102
data/processed_data/Overripe/4_1687_20.jpg,4,20
data/processed_data/Overripe/4_624_165.jpg,4,165
data/processed_data/Overripe/4_183_194.jpg,4,194
data/processed_data/Overripe/4_3629_130.jpg,4,130
data/processed_data/Overripe/4_113_216.jpg,4,216
data/processed_data/Overripe/4_944_45.jpg,4,45
data/processed_data/Overripe/4_3034_217.jpg,4,217
data/processed_data/Overripe/4_4067_31.jpg,4,31
data/processed_data/Overripe/4_3609_82.jpg,4,82
data/processed_data/Overripe/4_3662_69.jpg,4,69
data/processed_data/Overripe/4_805_50.jpg,4,50
data/processed_data/Overripe/4_2896_84.jpg,4,84
data/processed_data/Overripe/4_1094_39.jpg,4,39
data/processed_data/Overripe/4_1064_144.jpg,4,144
data/processed_data/Overripe/4_2789_113.jpg,4,113
data/processed_data/Overripe/4_1276_176.jpg,4,176
data/processed_data/Overripe/4_2920_154.jpg,4,154
data/processed_data/Overripe/4_1929_202.jpg,4,202
data/processed_data/Overripe/4_3350_168.jpg,4,168
data/processed_data/Overripe/4_1244_53.jpg,4,53
data/processed_data/Overripe/4_3458_27.jpg,4,27
data/processed_data/Overripe/4_86_74.jpg,4,74
data/processed_data/Overripe/4_2657_77.jpg,4,77
data/processed_data/Overripe/4_3514_4.jpg,4,4
data/processed_data/Overripe/4_3326_24.jpg,4,24
data/processed_data/Overripe/4_4051_198.jpg,4,198
data/processed_data/Overripe/4_1093_39.jpg,4,39
data/processed_data/Overripe/4_2893_84.jpg,4,84
data/processed_data/Overripe/4_2949_141.jpg,4,141
data/processed_data/Overripe/4_1969_58.jpg,4,58
data/processed_data/Overripe/4_3399_180.jpg,4,180
data/processed_data/Overripe/4_2522_191.jpg,4,191
data/processed_data/Overripe/4_167_59.jpg,4,59
